30/09/2022,context,change_to,typo,suggestions_01,suggestions_02,suggestions_03,suggestions_04,suggestions_05,suggestions_06,suggestions_07,suggestions_08,suggestions_09,suggestions_10,suggestions_11,suggestions_12,suggestions_13,suggestions_14,suggestions_15
1369,"will going on , World Cup of <<BRASIL>> may be canceled. I think it i",Brazil,Brasil,Basil,Brazil,Brasilia,Brassily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1369,c growth. I hope World Cup of <<BRASIL>> is held !!!,Brazil,Brasil,Basil,Brazil,Brasilia,Brassily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1370,"in Brazil. These events cost <<ALOT>> to be held, but the benefits",a lot,alot,a lot,alto,slot,alt,lot,allot,aloft,aloe,clot,plot,blot,NA,NA,NA,NA
1372,e the plan or the idea of the <<GOVERMENT>>.So I realized that it is very,government,goverment,government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,"If the Olympic take place in <<JAPAPAN>>, demonstrate would happen? Re",NA,Japapan,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,y we could see demonstrate to <<NUCLER>> power plant. I think there ar,NA,nucler,nuclear,nuclei,nucleon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1378,"an, demonstrate would happen? <<RECENTRY>> we could see demonstrate to n",NA,Recentry,Reentry,Recently,Rec entry,Rec-entry,Recent,Centenary,Century,Entry,NA,NA,NA,NA,NA,NA,NA
1381,ste too much money. Brazilian <<GAVERNMENT>> should understand their feeli,Government,Gavernment,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1382,cide which side(admiration of <<SNOWDEN>> or rebuke of Snowden)I am wil,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1383,"dams, American army bases, or <<REOPERATION>> of nuclear power plants, they",NA,reoperation,re operation,re-operation,recuperation,operation,reiteration,perpetration,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,ad this article. I think that <<MOUNTAINING>> public resentment caused this,NA,mountaining,mountaineering,mountainous,mountaintop,mountain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1384,lso think that the government <<SHOILD>> be fully aware of the minds o,NA,shoild,should,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,re to be impeached. This news <<REMINED>> me of the last stage of natio,NA,remined,remind,reined,remained,reminded,relined,repined,refined,re mined,re-mined,remixed,domineered,NA,NA,NA,NA
1387,I would say that <<SNOWDEN>> is both a hero and a traitor.,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,"<<SNOWDEN>> may have broken the law, but",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1387,nations such as USSR. Though <<SNOWDEN>> is a traitor for the people w,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,I think Edward <<SNOWDEN>> is a traitor because the gove,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,"xist.Then,we must support the <<WHISTLEBLOWER>> if he arrests. But,we do not",whistleblower,whistleblower,whistle blower,whistle-blower,thistledown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1390,Its system is democracy. And <<BRAZILIAN>> economy is growing rapidly. S,Brazilian,brazilian,Brazilian,librarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,t good for everyone living in <<BRAZIL>>. Even though there is people,Brazil,brazil,Brazil,brazier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,it than a short-term loss for <<TWE>> years or three years.,two,twe,tee,we,twee,wet,ewe,tie,awe,two,toe,owe,twp,the,t we,NA,NA
1393,ew demonstrations in Japan.If <<JAPANESE>> people express their opinions,NA,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,"old world-wide championships. <<ATUALLY>>, I'm so excited because Tokyo",Actually,Atually,Actually,Mutually,Ritually,Textually,Naturally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,"re I read this news,I thought <<CONFEDEDERATIONS>> Cup and the World Cup are wel",Confederations,Confedederations,Confederations,Considerations,Consideration,Federalization,Defenestrations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,he government have to be take <<COUNTERMESURES>> in order not to waste money.,countermeasures,countermesures,countermeasures,countermeasure,countercultures,countermoves,counterstrokes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,"okyo invites Olompics now. Of <<COURE>>,I also think that the governm",course,coure,core,cure,course,court,coupe,couture,scourer,NA,NA,NA,NA,NA,NA,NA,NA
1396,are expected by hosting these <<IVENTS>>. I think it makes people happ,NA,ivents,vents,invents,events,i vents,inventive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,"excited because Tokyo invites <<OLOMPICS>> now. Of coure,I also think th",NA,Olompics,Olympics,Olympic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,e people also say that 'Tokyo <<OLYMPIC'WASTES>> money.But there are no corrup,Olympic' wastes,Olympic'wastes,Paralympics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,"se japanese politic is stable <<COMPARELING>> with foreign countries. But,a",comparing,compareling,compare ling,compare-ling,comparing,compelling,compiling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,aren't interested in politics <<COMPARELING>> with foreign countries.,comparing,compareling,compare ling,compare-ling,comparing,compelling,compiling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,on't happen in Japan. Because <<JAPANESE>> politic is stable compareling,NA,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,I think protest <<MONEMENT>> is good because it signify pe,NA,monement,monument,movement,atonement,enthronement,tenement,memento,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,inst the low so his action is <<CLASSFIED>> in bad things. But it is sure,classified,classfied,classified,classed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,"this article, I think Edward <<SNOWDEN>> has two sides of hero and tra",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,are the rights by his action. <<WHETER>> he is hero or not is affected,Whether,Wheter,Whether,Whiter,Whet er,Whet-er,Whereto,Whet,Where,NA,NA,NA,NA,NA,NA,NA,NA
1403,I do not mean his actions are <<CORREC>>t in all points . I think that,correct,correc,correct,cor rec,cor-rec,rerecord,corr,core,recorder,NA,NA,NA,NA,NA,NA,NA,NA
1403,"e public, his behavior may be <<CORREC>> for the most partt. However,",correct,correc,correct,cor rec,cor-rec,rerecord,corr,core,recorder,NA,NA,NA,NA,NA,NA,NA,NA
1403,"or may be correc for the most <<PARTT>>. However, there is a risk con",NA,partt,party,part,parts,part t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,hey seem to make no effect on <<GOEVERNMENT'S>> plan.I think it's because of,government's,goevernment's,government's,governments,misgovernment,government,engorgement's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,I think demonstrations are <<IMPOTRANT>> to make one's country better.,NA,impotrant,important,impotent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,"things such as democracy, the <<TENNO>> system, government collapses,",NA,Tenno,Tenn,Tenn o,Tenon,Tonne,Ten no,Ten-no,Tenor,Steno,NA,NA,NA,NA,NA,NA,NA
1408,objection to participating in <<TPP>>. Foreigners living in Japan a,TPP,TPP,TOP,PP,TSP,TIP,TAP,APP,OPP,TWP,T PP,ATP,NA,NA,NA,NA,NA
1411,laimed their opinion based on <<THIER>> justice.But I think when it c,NA,thier,their,tier,shier,trier,thief,thither,hither,NA,NA,NA,NA,NA,NA,NA,NA
1413,eryone to hold such big sport <<TORNAMENT>> in their home countries. So I,tournament,tornament,ornament,tournament,t ornament,tormentor,torment,adornment,mentor,NA,NA,NA,NA,NA,NA,NA,NA
1414,"This is difficult for me to <<DICEDE>> that he is hero or traitor, w",decide,dicede,decide,diced,deiced,diced e,dice,edifice,cede,NA,NA,NA,NA,NA,NA,NA,NA
1415,"our presentation better. For <<EXAMPRE>>,we should speak with loud voi",example,exampre,example,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,eners. We should take care of <<LITENERS>> so that they can understand o,NA,liteners,lighteners,listeners,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,gas.It means that citizen and <<GOBENMENT>> are enemy. Goveenment have to,government,gobenment,government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,izen and gobenment are enemy. <<GOVEENMENT>> have to apologize to people a,Government,Goveenment,Government,Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,"ve to apologize to people and <<PUESUADE>> people,",NA,puesuade,persuade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,I want to take a <<NEUTAL>> position. What he did was bra,NA,neutal,neural,neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,"It is to advantage of someone <<ONTHE>> one hand,but it is to disadva",NA,onthe,on the,on-the,thereon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,ntage of the other people <<ONTHE>> other hand.If his action is a,NA,onthe,on the,on-the,thereon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,"er,I disagree with his Edward <<SNOWDEN'S>> action.Surely,he did a import",Snowden's,Snowden's,Snow den's,Snow-den's,Snowdrop's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1421,"change. Of course, corruption <<EXSITS>> in political systems of Japan",exists,exsits,exists,exits,ex sits,ex-sits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,I disagree with <<NAOEMARI>> because she only refered to t,NA,naoemari,marina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1423,ith naoemari because she only <<REFERED>> to the parents' responsibilit,NA,refered,refereed,referred,referee,revered,refer ed,refer-ed,referenced,referrer,deferred,refer,NA,NA,NA,NA,NA
1424,quency seems not quite enough.<<PEPLE>> in Japan should take more act,NA,Peple,Pele,Peale,People,Leper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,ome countries now cannot help <<AVOINDING>> the problems between other co,avoiding,avoinding,avoiding,nonbinding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,"newspaper, the key point of '<<ABENOMICS>>' is TPP. It seems to raise in",Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1429,e key point of 'Abenomics' is <<TPP>>. It seems to raise investment,TPP,TPP,TOP,PP,TSP,TIP,TAP,APP,OPP,TWP,T PP,ATP,NA,NA,NA,NA,NA
1429,"Eventually, the profit of the <<TPP>> will revert to the other coun",TPP,TPP,TOP,PP,TSP,TIP,TAP,APP,OPP,TWP,T PP,ATP,NA,NA,NA,NA,NA
1430,"newspaper, the key point of '<<ABENOMICS>>' is TPP. It seems to raise in",Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,e key point of 'Abenomics' is <<TPP>>. It seems to raise investment,TPP,TPP,TOP,PP,TSP,TIP,TAP,APP,OPP,TWP,T PP,ATP,NA,NA,NA,NA,NA
1430,"Eventually, the profit of the <<TPP>> will revert to the other coun",TPP,TPP,TOP,PP,TSP,TIP,TAP,APP,OPP,TWP,T PP,ATP,NA,NA,NA,NA,NA
1433,"choose his safety, but choose <<CITIZENS'S>> safety. I think that almost p",citizens',citizens's,citizen's,citizenship's,citizens,citizenry's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1433,ist. I want to support Edward <<SNOWDEN>> as hero of ordinary people. H,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,I praise Edward <<SNOWDEN>> for his act.I have two reason,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,"arrested. So, I regard Edward <<SNOWDEN>> as a hero.",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,I regard Edward <<SNOWDEN>> as Traitor. He let out the im,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,"can see that I feel as though <<SNOWDEN>> is Traitor, I do not agree wi",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1435,gree with ID1318 when he says <<SNOWDEN>> has caused visible conflicts,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,". As the saying goes, 'uso mo <<HOBEN>>(嘘も方便)', which means it is som",NA,hoben,hob en,hob-en,hobnob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,"l order. As the saying goes, '<<USO>> mo hoben(嘘も方便)', which means",uso,uso,USO,us,so,sou,use,usu,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,"e saying goes, 'uso mo hoben(嘘<<も>>方便)', which means it is someti",も,も,e,s,i,a,n,r,t,o,l,c,d,u,g,m,p
1439,et. But the leak revealed the <<GOVERMENT'S>> conceal and he got so much su,government's,goverment's,government's,governments,government,engorgement's,movement's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,"nowden doesn't seem to reveal <<GOVERMENT'S>> definitive corruption, and on",government's,goverment's,government's,governments,government,engorgement's,movement's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,o of Chinese ship's attack at <<SENKAKU>>. In the case the uploader was,NA,Senkaku,Sensual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,"ent. But in this case, Edward <<SNOWDEN>> doesn't seem to reveal goverm",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1439,k at Senkaku. In the case the <<UPLOADER>> was forced to retire the job,uploader,uploader,uploaded,up loader,up-loader,upload er,upload-er,upload,loader,NA,NA,NA,NA,NA,NA,NA,NA
1439,"ruption, and only to be said '<<VAILANT>>'. I can't praise the action l",valiant,vailant,valiant,vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,nce for Brazil to develop. Of <<COURCE>> there are so many and difficu,course,cource,coerce,course,source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,"self. So advanced nations, of <<COURCE>> including Japan, should help",course,cource,coerce,course,source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,es and regions are menbers of <<FIFA>>. The number is more than the,FIFA,FIFA,FIFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,209 countries and regions are <<MENBERS>> of FIFA. The number is more t,NA,menbers,members,menders,encumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1440,"han the number of <<MENBERS>> of UN, 193 countries. So you",NA,menbers,members,menders,encumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1441,different ideas from you. Of <<COURCE>> your idea isn't mistake compl,course,cource,coerce,course,source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,I cannot <<DESIDE>> whether he is a hero or a tra,decide,deside,desire,deride,reside,decide,beside,desist,seaside,sidestep,side,NA,NA,NA,NA,NA,NA
1443,It is too dificult for me to <<DESIDE>> which side I should agree but,decide,deside,desire,deride,reside,decide,beside,desist,seaside,sidestep,side,NA,NA,NA,NA,NA,NA
1443,ak the imformation. It is too <<DIFICULT>> for me to deside which side I,difficult,dificult,difficult,ridicule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,"nks to him, we could know the <<IMFORMATION>> of NSA. His action was really",NA,imformation,information,malformation,formation,formalization,formulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,uld be too afraid to leak the <<IMFORMATION>>. It is too dificult for me to,NA,imformation,information,malformation,formation,formalization,formulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,"l, I' d like to admire Edward <<SNOWDEN>>'s brave action and regard him",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,"ty, but the details leaked by <<SNOWDEN>>. He revealed that the U.S. au",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,"l, I' d like to admire Edward <<SNOWDEN'S>> brave action and regard him a",Snowden's,Snowden's,Snow den's,Snow-den's,Snowdrop's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1448,"ding to this article,''Edward <<SNOWDEN>> has been hailed as a hero of",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1451,I think that Edward <<SNOWDEN>> is not a hero. I also think t,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,"ren . I think that if parents <<DISCIPLANE>> children, children understand",discipline,disciplane,discipline,disciple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,it is difficult to call them '<<GANGSTERISM>>'. You should think why guns b,gangsterism,gangsterism,gangster ism,gangster-ism,gangster,smattering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,"d to make the world nearer to <<CHLIDREN'S>> lives,the idea that the housi",children's,chlidren's,children's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,idea that the housings nearby <<SHOOL>> or daycare center must be red,NA,shool,shook,shoo,school,shoos,shoal,shoot,stool,spool,shoo l,NA,NA,NA,NA,NA,NA
1458,"agree with your opinion that <<YUICHIRO>> is lucky, and not everyone ca",Yuichiro,Yuichiro,Chiropody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1458,ts. Did you tell the story of <<YUICHIRO>> to your grandfather? I hope y,Yuichiro,Yuichiro,Chiropody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1459,"use this is difficult for me. <<SNOWDEN>> broke low, but it is really b",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,329's opinion. What Maeda and <<HOSAKA>> said in the text makes sense.,NA,Hosaka,Hos aka,Hos-aka,Osaka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,e with ID1329's opinion. What <<MAEDA>> and Hosaka said in the text m,NA,Maeda,Mazda,Edamame,Damaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1461,inion. It is true that Edward <<SNOWDEN>> has broken the law and he des,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1463,printer is applied to making <<CLOTHINGS>> and medical instruments.So go,clothings,clothings,clothing,clothing's,clot hings,clot-hings,clothing s,nothings,loincloths,loincloth,NA,NA,NA,NA,NA,NA,NA
1463,gs and medical instruments.So <<GOVERMENTS>> of each nation should regulat,governments,goverments,governments,government,movements,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1464,roblem is difficult to decide.<<WHETHR>> he is hero or agitator will b,Whether,Whethr,Whether,Whet hr,Whet-hr,Whet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,wholesale decision of whether <<SNOWDEN>> is a hero or a traitor becaus,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,he concrete information which <<SNOWDEN>> leaked.It is true that classi,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,"in the US authority and this,<<SNOWDEN>>'s action is one of the step t",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1465,"in the US authority and this,<<SNOWDEN'S>> action is one of the step tha",Snowden's,Snowden's,Snow den's,Snow-den's,Snowdrop's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1469,that he thinks 'hero' rather <<THAN'TRAITOR'HIMSELF>>. Consequently I can't decide,than 'traitor' himself,than'traitor'himself,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1470,ir noise and bring up them by <<SURRUNDING>> people. We should have tolera,NA,surrunding,surrounding,surrendering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1471,I can not agree with <<GAMUSYARA'S>> idea.If the nation allows the,gamusyara's,gamusyara's,ignoramus's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,"honest, I hardly knew about '<<ABENOMICS>>' before I read this article.",Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1472,ht it brings us a lot of good <<INFULENCES>>. But now I know it doesn't gi,NA,infulences,influences,inferences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,I agree with <<NAOENAMI'S>> idea.The political affairs al,naoenami's,naoenami's,tsunami's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,"k this case fits it,so Edward <<SNOWDEN>> is a traitor. However, people",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,"d this article, I thought the <<SECOUND>> example is the best way to le",NA,secound,second,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,uld be more tolerant with the <<NOIDE>> of children. And I think it i,NA,noide,noise,node,adenoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,difficult to be predicted.If '<<ABENOMICS>>'will continue by Prime Minist,Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,p a good condition.So I hope '<<ABENOMICS>>' will have a good effect on J,Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,"apanese economy,but '<<ABENOMICS>>' is not said to be effective",Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1478,difficult to be predicted.If '<<ABENOMICS'WILL>> continue by Prime Minister Ab,Abenomics will,Abenomics'will,Macroeconomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,I know <<SNOWDEN>> broke the law but I think he,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,portant information from this <<SNOWDEN>> case. He made a sacrifice of,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,so the goverment have to take <<COUNTERTERROR>> measures. One of them is U.S',counter-terror,counterterror,counter terror,counter-terror,countertenor,counterstroke,counteroffer,counterfeiter,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,"ppen in the world, and so the <<GOVERMENT>> have to take counterterror me",government,goverment,government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,"In my opinion, Edward <<SNOWDEN>> did the wrong action that he",NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,".S. Now that a lot of acts of <<TERRORIM>> happen in the world, and so t",NA,terrorim,terrorism,terrorize,terrorist,terror,importer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1485,is not bad to hold the World <<CUPIS>>. it a working-out method of t,Cup is,Cupis,Cupid,Cu pis,Cu-pis,Cups,Cupids,Cup's,Cup is,Cup-is,NA,NA,NA,NA,NA,NA,NA
1486,I can not agree with <<MAMI'S>> idea. I regard Edward as his,mami's,mami's,imam's,mama's,magi's,Tami's,ma mi's,ma-mi's,salami's,swami's,mamma's,miasma's,NA,NA,NA,NA,NA
1489,"lenge actively, even if it is <<DIFICULT>> for me to accomplish.",difficult,dificult,difficult,ridicule,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,"fares, than World cup. So the <<GOVERMENT>> in Brazil need to solve them",government,goverment,government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,"ems, such as a hike in public <<TRANSPOR>> fares, than World cup. So the",transport,transpor,transport,transpolar,transpose,transplant,translator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1492,"ave to pay 108yen. If we buy '<<UMAIBO>>', we have to pay 11yen. Its s",Umaibo,Umaibo,Maracaibo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494,"he cost too high and economic <<DISPARTY>>. If their lives is painful, t",disparity,disparty,disparity,dis party,dis-party,disparate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497,ree with your idea. You said '<<ABENOMICS>> is not good for Japanese econ,Abenomics,abenomics,genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1498,orld. Therefore the action of <<SNOWDEN>> should not be assessed 'hero',NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,I think '<<ABENOMICS>>' is very good plan.The price,Abenomics,Abenomics,Genomics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,"rice of everythings is rising,<<BUTSALARIES>> of people will be raising by",but salaries,butsalaries,but salaries,but-salaries,burglaries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1499,"s very good plan.The price of <<EVERYTHINGS>> is rising,butsalaries of peop",everything,everythings,everything,everything's,every things,every-things,everything s,everlastings,NA,NA,NA,NA,NA,NA,NA,NA,NA
1503,I think Edward <<SNOWDEN>> is a hero. It is surely bad t,NA,Snowden,Snow den,Snow-den,Snowmen,Snowdrop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506,agree with the idea of Kinuko <<INOGUCHI>>. We have to set forward child,NA,Inoguchi,Touching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506,I agree with the idea of <<KINUKO>> Inoguchi. We have to set forw,NA,Kinuko,Kinko's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
